rule	support	confidence	lift
(' Rondinella', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	0.998	89.526
('NoRegion_2', ' Rondinella', 'Italy') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> ('"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', ' Molinara"', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', 'Italy', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'Italy', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', ' Molinara"', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', ' Molinara"', 'Italy', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', ' Molinara"', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', 'Italy', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy', 'NoRegion_2') ==> (' Molinara"',)	0.011	0.998	89.526
(' Rondinella',) ==> ('Veneto', 'Italy', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', '"Corvina', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> ('Italy', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy', 'NoRegion_2') ==> ('"Corvina',)	0.011	0.998	89.526
(' Rondinella',) ==> (' Molinara"', 'NoRegion_2', '"Corvina', 'Veneto', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'NoRegion_2') ==> ('Veneto', ' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
('Veneto', ' Rondinella') ==> (' Molinara"', 'Italy', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
(' Rondinella', 'Italy') ==> ('Veneto', ' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'NoRegion_2') ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.998	89.526
(' Rondinella', 'Italy', 'NoRegion_2') ==> ('Veneto', ' Molinara"', '"Corvina')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy') ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.998	89.526
('Veneto', ' Rondinella', 'Italy', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.998	89.526
('New York',) ==> ('Finger Lakes',)	0.010	0.622	62.167
('Finger Lakes',) ==> ('New York',)	0.010	1.000	62.167
('New York',) ==> ('US', 'Finger Lakes')	0.010	0.622	62.167
('Finger Lakes',) ==> ('US', 'New York')	0.010	1.000	62.167
('US', 'New York') ==> ('Finger Lakes',)	0.010	0.622	62.167
('US', 'Finger Lakes') ==> ('New York',)	0.010	1.000	62.167
('Sicily & Sardinia',) ==> ('Sicilia',)	0.011	0.668	59.309
('Sicilia',) ==> ('Sicily & Sardinia',)	0.011	1.000	59.309
('Sicily & Sardinia',) ==> ('Sicilia', 'NoRegion_2')	0.011	0.668	59.309
('Sicilia',) ==> ('Sicily & Sardinia', 'NoRegion_2')	0.011	1.000	59.309
('Sicily & Sardinia', 'NoRegion_2') ==> ('Sicilia',)	0.011	0.668	59.309
('Sicilia', 'NoRegion_2') ==> ('Sicily & Sardinia',)	0.011	1.000	59.309
('Sicily & Sardinia',) ==> ('Sicilia', 'Italy')	0.011	0.668	59.309
('Sicilia',) ==> ('Sicily & Sardinia', 'Italy')	0.011	1.000	59.309
('Sicily & Sardinia', 'Italy') ==> ('Sicilia',)	0.011	0.668	59.309
('Sicilia', 'Italy') ==> ('Sicily & Sardinia',)	0.011	1.000	59.309
('Sicilia',) ==> ('NoRegion_2', 'Sicily & Sardinia', 'Italy')	0.011	1.000	59.309
('Sicily & Sardinia',) ==> ('NoRegion_2', 'Italy', 'Sicilia')	0.011	0.668	59.309
('Italy', 'Sicilia') ==> ('Sicily & Sardinia', 'NoRegion_2')	0.011	1.000	59.309
('NoRegion_2', 'Sicilia') ==> ('Sicily & Sardinia', 'Italy')	0.011	1.000	59.309
('Sicily & Sardinia', 'Italy') ==> ('NoRegion_2', 'Sicilia')	0.011	0.668	59.309
('Sicily & Sardinia', 'NoRegion_2') ==> ('Italy', 'Sicilia')	0.011	0.668	59.309
('NoRegion_2', 'Italy', 'Sicilia') ==> ('Sicily & Sardinia',)	0.011	1.000	59.309
('NoRegion_2', 'Sicily & Sardinia', 'Italy') ==> ('Sicilia',)	0.011	0.668	59.309
('New Zealand',) ==> ('Marlborough',)	0.011	0.498	45.464
('Marlborough',) ==> ('New Zealand',)	0.011	1.000	45.464
('New Zealand',) ==> ('Marlborough', 'NoRegion_2')	0.011	0.498	45.464
('Marlborough',) ==> ('New Zealand', 'NoRegion_2')	0.011	1.000	45.464
('New Zealand', 'NoRegion_2') ==> ('Marlborough',)	0.011	0.498	45.464
('Marlborough', 'NoRegion_2') ==> ('New Zealand',)	0.011	1.000	45.464
('New Zealand',) ==> ('NoRegion_1', 'Marlborough')	0.011	0.498	45.464
('Marlborough',) ==> ('NoRegion_1', 'New Zealand')	0.011	1.000	45.464
('NoRegion_1', 'New Zealand') ==> ('Marlborough',)	0.011	0.498	45.464
('NoRegion_1', 'Marlborough') ==> ('New Zealand',)	0.011	1.000	45.464
('New Zealand',) ==> ('NoRegion_1', 'Marlborough', 'NoRegion_2')	0.011	0.498	45.464
('Marlborough',) ==> ('NoRegion_1', 'New Zealand', 'NoRegion_2')	0.011	1.000	45.464
('New Zealand', 'NoRegion_2') ==> ('NoRegion_1', 'Marlborough')	0.011	0.498	45.464
('NoRegion_1', 'New Zealand') ==> ('Marlborough', 'NoRegion_2')	0.011	0.498	45.464
('Marlborough', 'NoRegion_2') ==> ('NoRegion_1', 'New Zealand')	0.011	1.000	45.464
('NoRegion_1', 'Marlborough') ==> ('New Zealand', 'NoRegion_2')	0.011	1.000	45.464
('NoRegion_1', 'New Zealand', 'NoRegion_2') ==> ('Marlborough',)	0.011	0.498	45.464
('NoRegion_1', 'Marlborough', 'NoRegion_2') ==> ('New Zealand',)	0.011	1.000	45.464
('Germany',) ==> ('NoRegion_1', 'Riesling')	0.014	0.854	42.896
('NoRegion_1', 'Riesling') ==> ('Germany',)	0.014	0.697	42.896
('Germany',) ==> ('NoRegion_2', 'NoRegion_1', 'Riesling')	0.014	0.854	42.896
('NoRegion_1', 'Riesling') ==> ('Germany', 'NoRegion_2')	0.014	0.697	42.896
('Germany', 'NoRegion_2') ==> ('NoRegion_1', 'Riesling')	0.014	0.854	42.896
('NoRegion_2', 'NoRegion_1', 'Riesling') ==> ('Germany',)	0.014	0.697	42.896
('Willamette Valley',) ==> ('Pinot Noir', 'Oregon')	0.015	0.696	41.124
('Pinot Noir', 'Oregon') ==> ('Willamette Valley',)	0.015	0.889	41.124
('Willamette Valley',) ==> ('Pinot Noir', 'Oregon', 'US')	0.015	0.696	41.124
('Pinot Noir', 'Oregon') ==> ('US', 'Willamette Valley')	0.015	0.889	41.124
('US', 'Willamette Valley') ==> ('Pinot Noir', 'Oregon')	0.015	0.696	41.124
('Pinot Noir', 'Oregon', 'US') ==> ('Willamette Valley',)	0.015	0.889	41.124
('Veneto',) ==> (' Molinara"',)	0.011	0.425	38.097
(' Molinara"',) ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella',)	0.011	0.426	38.097
(' Rondinella',) ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina',)	0.011	0.425	38.097
('"Corvina',) ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina', 'Italy')	0.011	0.425	38.097
('"Corvina',) ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> ('"Corvina',)	0.011	0.425	38.097
('"Corvina', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', '"Corvina')	0.011	0.425	38.097
(' Rondinella', '"Corvina') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', 'NoRegion_2')	0.011	0.426	38.097
(' Rondinella',) ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'NoRegion_2') ==> (' Rondinella',)	0.011	0.426	38.097
(' Rondinella', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', 'Italy')	0.011	0.425	38.097
(' Molinara"',) ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> (' Molinara"',)	0.011	0.425	38.097
(' Molinara"', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', 'NoRegion_2')	0.011	0.425	38.097
(' Molinara"',) ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"',)	0.011	0.425	38.097
(' Molinara"', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', 'Italy')	0.011	0.426	38.097
(' Rondinella',) ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> (' Rondinella',)	0.011	0.426	38.097
(' Rondinella', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', ' Rondinella')	0.011	0.425	38.097
(' Molinara"', ' Rondinella') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina', 'NoRegion_2')	0.011	0.425	38.097
('"Corvina',) ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'NoRegion_2') ==> ('"Corvina',)	0.011	0.425	38.097
('"Corvina', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', '"Corvina')	0.011	0.425	38.097
(' Molinara"', '"Corvina') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> (' Molinara"', ' Rondinella')	0.011	0.425	38.097
(' Molinara"', ' Rondinella') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
(' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', '"Corvina', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> (' Rondinella', '"Corvina')	0.011	0.425	38.097
(' Rondinella', '"Corvina') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
(' Rondinella', '"Corvina', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"', ' Rondinella')	0.011	0.425	38.097
(' Molinara"', ' Rondinella') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.425	38.097
(' Molinara"', '"Corvina') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Molinara"', '"Corvina', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> (' Molinara"', '"Corvina')	0.011	0.425	38.097
(' Molinara"', '"Corvina') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
(' Molinara"', '"Corvina', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> (' Rondinella', '"Corvina')	0.011	0.425	38.097
(' Rondinella', '"Corvina') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Rondinella', '"Corvina', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('NoRegion_2', '"Corvina', 'Italy')	0.011	0.425	38.097
('"Corvina',) ==> ('Veneto', 'NoRegion_2', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> ('"Corvina', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> ('"Corvina', 'Italy')	0.011	0.425	38.097
('"Corvina', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('"Corvina', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'NoRegion_2', 'Italy') ==> ('"Corvina',)	0.011	0.425	38.097
('NoRegion_2', '"Corvina', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('NoRegion_2', ' Molinara"', 'Italy')	0.011	0.425	38.097
(' Molinara"',) ==> ('Veneto', 'NoRegion_2', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> (' Molinara"', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"', 'Italy')	0.011	0.425	38.097
(' Molinara"', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Molinara"', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'NoRegion_2', 'Italy') ==> (' Molinara"',)	0.011	0.425	38.097
('NoRegion_2', ' Molinara"', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina', ' Molinara"', ' Rondinella')	0.011	0.425	38.097
('"Corvina', ' Molinara"', ' Rondinella') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('NoRegion_2', ' Rondinella', 'Italy')	0.011	0.426	38.097
(' Rondinella',) ==> ('Veneto', 'NoRegion_2', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy') ==> (' Rondinella', 'NoRegion_2')	0.011	0.426	38.097
('Veneto', 'NoRegion_2') ==> (' Rondinella', 'Italy')	0.011	0.426	38.097
(' Rondinella', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Rondinella', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'NoRegion_2', 'Italy') ==> (' Rondinella',)	0.011	0.426	38.097
('NoRegion_2', ' Rondinella', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina', ' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> ('"Corvina', ' Molinara"', ' Rondinella')	0.011	0.425	38.097
('"Corvina', ' Molinara"', ' Rondinella') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('"Corvina', ' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> ('"Corvina', ' Molinara"', ' Rondinella', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> ('"Corvina', ' Molinara"', ' Rondinella')	0.011	0.425	38.097
('"Corvina', ' Molinara"', ' Rondinella') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('"Corvina', ' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2')	0.011	0.425	38.097
(' Molinara"', ' Rondinella') ==> ('Veneto', 'Italy', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> (' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	0.425	38.097
(' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
(' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'Italy', 'NoRegion_2') ==> (' Molinara"', ' Rondinella')	0.011	0.425	38.097
(' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', 'Italy', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
(' Molinara"', '"Corvina') ==> ('Veneto', 'Italy', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'NoRegion_2') ==> (' Molinara"', '"Corvina', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> (' Molinara"', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
(' Molinara"', '"Corvina', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
(' Molinara"', '"Corvina', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'Italy', 'NoRegion_2') ==> (' Molinara"', '"Corvina')	0.011	0.425	38.097
(' Molinara"', 'Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Rondinella', 'Italy', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> (' Rondinella', '"Corvina', 'Italy')	0.011	0.425	38.097
(' Rondinella', '"Corvina') ==> ('Veneto', 'Italy', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'Italy') ==> (' Rondinella', '"Corvina', 'NoRegion_2')	0.011	0.425	38.097
(' Rondinella', '"Corvina', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('Veneto', 'Italy', 'NoRegion_2') ==> (' Rondinella', '"Corvina')	0.011	0.425	38.097
(' Rondinella', '"Corvina', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Rondinella', 'Italy', '"Corvina', 'NoRegion_2') ==> ('Veneto',)	0.011	1.000	38.097
('Veneto',) ==> (' Molinara"', 'NoRegion_2', ' Rondinella', '"Corvina', 'Italy')	0.011	0.425	38.097
('Veneto', 'NoRegion_2') ==> ('"Corvina', ' Molinara"', ' Rondinella', 'Italy')	0.011	0.425	38.097
('Veneto', 'Italy') ==> ('"Corvina', ' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	0.425	38.097
('"Corvina', ' Molinara"', ' Rondinella') ==> ('Veneto', 'Italy', 'NoRegion_2')	0.011	1.000	38.097
('Veneto', 'Italy', 'NoRegion_2') ==> ('"Corvina', ' Molinara"', ' Rondinella')	0.011	0.425	38.097
('"Corvina', ' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto', 'Italy')	0.011	1.000	38.097
('"Corvina', ' Molinara"', ' Rondinella', 'Italy') ==> ('Veneto', 'NoRegion_2')	0.011	1.000	38.097
(' Molinara"', 'NoRegion_2', ' Rondinella', '"Corvina', 'Italy') ==> ('Veneto',)	0.011	1.000	38.097
('Nebbiolo', 'Italy') ==> ('Piedmont', 'NoRegion_2')	0.014	0.996	36.743
('Piedmont', 'NoRegion_2') ==> ('Nebbiolo', 'Italy')	0.014	0.533	36.743
('Piedmont',) ==> ('Nebbiolo', 'Italy')	0.014	0.533	36.734
('Nebbiolo', 'Italy') ==> ('Piedmont',)	0.014	0.996	36.734
('Piedmont',) ==> ('NoRegion_2', 'Nebbiolo', 'Italy')	0.014	0.533	36.734
('NoRegion_2', 'Nebbiolo', 'Italy') ==> ('Piedmont',)	0.014	0.996	36.734
('Nebbiolo', 'NoRegion_2') ==> ('Piedmont', 'Italy')	0.014	0.986	36.386
('Piedmont', 'Italy') ==> ('Nebbiolo', 'NoRegion_2')	0.014	0.533	36.386
('Piedmont',) ==> ('Nebbiolo', 'NoRegion_2')	0.014	0.533	36.385
('Nebbiolo', 'NoRegion_2') ==> ('Piedmont',)	0.014	0.987	36.385
('Nebbiolo',) ==> ('Piedmont', 'NoRegion_2')	0.014	0.974	35.907
('Piedmont', 'NoRegion_2') ==> ('Nebbiolo',)	0.014	0.533	35.907
('Nebbiolo',) ==> ('Piedmont', 'Italy')	0.014	0.973	35.899
('Piedmont', 'Italy') ==> ('Nebbiolo',)	0.014	0.533	35.899
('Nebbiolo',) ==> ('NoRegion_2', 'Piedmont', 'Italy')	0.014	0.973	35.899
('NoRegion_2', 'Piedmont', 'Italy') ==> ('Nebbiolo',)	0.014	0.533	35.899
('Piedmont',) ==> ('Nebbiolo',)	0.014	0.533	35.898
('Nebbiolo',) ==> ('Piedmont',)	0.014	0.974	35.898
('Oregon',) ==> ('Willamette Valley',)	0.022	0.711	32.892
('Willamette Valley',) ==> ('Oregon',)	0.022	1.000	32.892
('Oregon',) ==> ('US', 'Willamette Valley')	0.022	0.711	32.892
('Willamette Valley',) ==> ('US', 'Oregon')	0.022	1.000	32.892
('US', 'Oregon') ==> ('Willamette Valley',)	0.022	0.711	32.892
('US', 'Willamette Valley') ==> ('Oregon',)	0.022	1.000	32.892
('Oregon',) ==> ('Pinot Noir', 'Willamette Valley')	0.015	0.495	32.892
('Pinot Noir', 'Willamette Valley') ==> ('Oregon',)	0.015	1.000	32.892
('Oregon',) ==> ('Pinot Noir', 'Willamette Valley', 'US')	0.015	0.495	32.892
('Pinot Noir', 'Willamette Valley') ==> ('US', 'Oregon')	0.015	1.000	32.892
('US', 'Oregon') ==> ('Pinot Noir', 'Willamette Valley')	0.015	0.495	32.892
('Pinot Noir', 'Willamette Valley', 'US') ==> ('Oregon',)	0.015	1.000	32.892
('Germany',) ==> ('NoRegion_2', 'Riesling')	0.014	0.854	32.543
('NoRegion_2', 'Riesling') ==> ('Germany',)	0.014	0.529	32.543
('NoRegion_2', 'Riesling') ==> ('NoRegion_1', 'Germany')	0.014	0.529	32.543
('NoRegion_1', 'Germany') ==> ('NoRegion_2', 'Riesling')	0.014	0.854	32.543
('Mendoza',) ==> ('Mendoza Province',)	0.024	1.000	31.831
('Mendoza Province',) ==> ('Mendoza',)	0.024	0.756	31.831
('Mendoza',) ==> ('Mendoza Province', 'Argentina')	0.024	1.000	31.831
('Mendoza Province',) ==> ('Mendoza', 'Argentina')	0.024	0.756	31.831
('Mendoza', 'Argentina') ==> ('Mendoza Province',)	0.024	1.000	31.831
('Mendoza Province', 'Argentina') ==> ('Mendoza',)	0.024	0.756	31.831
('Mendoza',) ==> ('Mendoza Province', 'NoRegion_2')	0.024	1.000	31.831
('Mendoza Province',) ==> ('Mendoza', 'NoRegion_2')	0.024	0.756	31.831
('Mendoza', 'NoRegion_2') ==> ('Mendoza Province',)	0.024	1.000	31.831
('Mendoza Province', 'NoRegion_2') ==> ('Mendoza',)	0.024	0.756	31.831
('Mendoza Province',) ==> ('NoRegion_2', 'Mendoza', 'Argentina')	0.024	0.756	31.831
('Mendoza',) ==> ('NoRegion_2', 'Mendoza Province', 'Argentina')	0.024	1.000	31.831
('Mendoza Province', 'Argentina') ==> ('Mendoza', 'NoRegion_2')	0.024	0.756	31.831
('Mendoza Province', 'NoRegion_2') ==> ('Mendoza', 'Argentina')	0.024	0.756	31.831
('Mendoza', 'Argentina') ==> ('Mendoza Province', 'NoRegion_2')	0.024	1.000	31.831
('Mendoza', 'NoRegion_2') ==> ('Mendoza Province', 'Argentina')	0.024	1.000	31.831
('NoRegion_2', 'Mendoza Province', 'Argentina') ==> ('Mendoza',)	0.024	0.756	31.831
('NoRegion_2', 'Mendoza', 'Argentina') ==> ('Mendoza Province',)	0.024	1.000	31.831
('Rioja',) ==> ('Northern Spain',)	0.013	1.000	30.855
('Rioja',) ==> ('Northern Spain', 'NoRegion_2')	0.013	1.000	30.855
('Rioja', 'NoRegion_2') ==> ('Northern Spain',)	0.013	1.000	30.855
('Rioja',) ==> ('Northern Spain', 'Spain')	0.013	1.000	30.855
('Spain', 'Rioja') ==> ('Northern Spain',)	0.013	1.000	30.855
('Rioja',) ==> ('Northern Spain', 'Spain', 'NoRegion_2')	0.013	1.000	30.855
('Spain', 'Rioja') ==> ('Northern Spain', 'NoRegion_2')	0.013	1.000	30.855
('Rioja', 'NoRegion_2') ==> ('Northern Spain', 'Spain')	0.013	1.000	30.855
('Spain', 'Rioja', 'NoRegion_2') ==> ('Northern Spain',)	0.013	1.000	30.855
('Northern Spain',) ==> ('Rioja',)	0.013	0.387	30.855
('Northern Spain',) ==> ('Rioja', 'NoRegion_2')	0.013	0.387	30.855
('Northern Spain', 'NoRegion_2') ==> ('Rioja',)	0.013	0.387	30.855
('Northern Spain',) ==> ('Spain', 'Rioja')	0.013	0.387	30.855
('Northern Spain', 'Spain') ==> ('Rioja',)	0.013	0.387	30.855
('Northern Spain',) ==> ('Spain', 'Rioja', 'NoRegion_2')	0.013	0.387	30.855
('Northern Spain', 'Spain') ==> ('Rioja', 'NoRegion_2')	0.013	0.387	30.855
('Northern Spain', 'NoRegion_2') ==> ('Spain', 'Rioja')	0.013	0.387	30.855
('Northern Spain', 'Spain', 'NoRegion_2') ==> ('Rioja',)	0.013	0.387	30.855
('Australia',) ==> ('South Australia',)	0.020	0.606	30.450
('Australia',) ==> ('South Australia', 'NoRegion_2')	0.020	0.606	30.450
