rule	support	confidence	lift
('Veneto', ' Molinara"') ==> (' Rondinella', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"', ' Rondinella')	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> ('Veneto', ' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', '"Corvina') ==> (' Molinara"', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('Veneto', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', 'NoRegion_2') ==> (' Rondinella', '"Corvina')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella') ==> ('"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Rondinella', '"Corvina', 'NoRegion_2') ==> ('Veneto', ' Molinara"')	0.011	1.000	89.739
('Veneto', '"Corvina', 'NoRegion_2') ==> (' Molinara"', ' Rondinella')	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina') ==> (' Molinara"', 'NoRegion_2')	0.011	1.000	89.739
('Veneto', ' Molinara"', ' Rondinella', 'NoRegion_2') ==> ('"Corvina',)	0.011	1.000	89.739
('Veneto', ' Rondinella', '"Corvina', 'NoRegion_2') ==> (' Molinara"',)	0.011	1.000	89.739
(' Molinara"',) ==> (' Rondinella', 'Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina',) ==> (' Molinara"', 'Italy', ' Rondinella', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'NoRegion_2') ==> (' Rondinella', '"Corvina', 'Italy')	0.011	1.000	89.739
(' Molinara"', ' Rondinella') ==> ('Italy', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
(' Molinara"', 'Italy') ==> (' Rondinella', '"Corvina', 'NoRegion_2')	0.011	1.000	89.739
('"Corvina', 'NoRegion_2') ==> (' Molinara"', ' Rondinella', 'Italy')	0.011	1.000	89.739
(' Rondinella', '"Corvina') ==> (' Molinara"', 'Italy', 'NoRegion_2')	0.011	1.000	89.739
